Markers,Displacement,Load,Time,Depth,HARDNESS,MODULUS,S^2/P,X Position,Y Position
,nm,mN,s,nm,GPa,GPa,GPa,Âµm,Âµm
,-3100.12806,3.496641617,387.5069067,106.1317685,7.966796128,132.8049482,2816.992671,0,395.95425
,-3045.900816,3.506510387,391.074267,107.2512797,7.632942481,137.5008321,3126.134374,0,393.954
,-3032.626086,3.509261713,394.6108579,105.9477418,8.025044938,132.1245998,2771.255835,0,391.95375
,-3055.128051,3.504323523,398.0953632,109.0285162,7.504855819,127.5493844,2783.862975,0,389.9535
,-3060.955681,3.50383145,401.6302173,105.4399711,8.111540307,133.0546777,2775.930646,0,387.95325
,-3052.861739,3.504414329,405.1657876,108.661757,7.429473845,134.1445331,3074.780176,0,385.953
,-3040.072972,3.509611449,408.7184028,93.34043579,10.6036202,162.8403146,3021.612719,0,383.95275
,-3028.983648,3.509448503,412.2348297,105.8530091,7.957911148,135.7356724,2930.96977,0,381.9525
,-3015.303664,3.512503199,415.7742308,102.0038471,8.686215791,141.8300556,2900.902547,0,379.999875
,-2996.928075,3.513875143,419.2947797,112.5408749,6.893533624,126.4783607,2985.657097,0,377.999625
,-2980.413653,3.518573853,422.8406044,104.3705338,8.264561978,136.4938689,2850.072201,0,375.999375
,-2963.817707,3.5218297,426.3691345,103.8967725,8.292558661,139.7290769,2960.013197,0,373.999125
,-2941.311009,3.524573135,429.9215095,109.3701913,7.422124125,128.2757744,2843.424039,0,371.998875
,-2923.984822,3.528257628,433.4731146,107.659487,7.462364174,142.1799969,3391.28779,0,369.998625
,-2906.738821,3.532516688,437.0047142,100.9358367,8.757379873,149.6531336,3160.540689,0,367.998375
,-2890.382869,3.536035249,440.5341998,98.68317481,9.389995755,148.01333,2891.518251,0,365.998125
,-2863.742344,3.540839794,444.0946108,99.20379905,9.172084044,150.740217,3055.924105,0,363.997875
,-2832.970317,3.546338858,447.6429244,103.8847691,8.87175794,120.8665716,2139.634898,0,361.997625
,-2748.173959,3.562312175,451.2531354,107.0735515,10.04417457,87.68937951,1055.61821,0,359.997375
,-2324.778755,3.643447458,455.2123858,89.17588559,17.00279413,113.0397795,990.1357288,0,357.997125
,-2349.34123,3.631571717,458.6668646,126.6072227,6.544314925,69.58770369,1054.699991,0,355.996875
,-2498.717715,3.602565212,462.0305828,130.5807189,5.451352001,80.63419824,1665.888455,0,353.996625
,-2610.458159,3.585797925,465.4601672,106.2420823,8.132136256,125.7849676,2506.287205,0,351.996375
,-2668.222667,3.574936996,468.923799,108.1596612,7.580668032,131.6264428,2914.160148,0,349.996125
,-2699.411011,3.569260509,472.4125733,105.990399,7.927548406,135.7840743,2944.046094,0,347.995875
,-2703.218227,3.569002086,475.9239784,102.7410066,8.469672577,143.5122521,3037.207217,0,345.995625
,-2697.871932,3.570150478,479.4547245,102.873872,8.524835738,139.9399427,2887.002332,0,343.995375
,-2682.156385,3.572039955,482.9748257,107.0763142,7.681816923,136.796544,3078.272554,0,341.995125
,-2675.351624,3.574217016,486.5023471,102.27913,8.669466345,139.9294532,2838.465245,0,339.994875
,-2661.012673,3.57577939,490.0287898,107.9792568,7.605365442,132.1172739,2923.892496,0,337.994625
,-2648.536648,3.57822849,493.5872591,106.7041225,7.643072518,142.3596107,3318.445323,0,335.994375
,-2631.199239,3.582131101,497.1247109,101.7982208,8.387808417,157.4908293,3605.713264,0,333.994125
,-2609.972146,3.584578111,500.675243,110.6993631,7.0505698,134.6855769,3263.131953,0,331.993875
,-2584.611846,3.58824434,504.2087264,116.2732898,6.555312753,113.7008252,2595.234255,0,329.993625
,-2576.833422,3.591435408,507.7584306,106.8141654,7.791585603,134.1675883,2932.770645,0,327.993375
,-2561.600184,3.594498201,511.2889665,104.5666225,8.160080268,139.031139,2981.702629,0,325.993125
,-2541.747765,3.598807952,514.830656,100.3185086,9.010595666,145.7828963,2934.400045,0,323.992875
,-2528.053077,3.600833648,518.3590595,102.1734697,8.657363191,141.3690814,2893.990974,0,321.992625
,-2511.116582,3.60424511,521.8947923,99.00382748,9.260931054,149.4356125,2981.123747,0,319.992375
,-2493.693202,3.607468555,525.4354882,100.6592623,8.947084028,144.8796024,2923.276461,0,317.992125
,-2474.648489,3.610566117,528.9716031,101.8080035,8.728809829,142.0843915,2895.834076,0,315.991875
,-2463.221246,3.612868645,532.5070636,99.77360156,9.074635977,148.7590922,3018.351681,0,313.991625
,-2446.039524,3.616339071,536.0455538,98.7756044,9.264090056,151.7575788,3061.198144,0,311.991375
,-2420.346948,3.619207531,539.5813522,108.9926632,7.349414,135.0185754,3144.1196,0,309.991125
,-2407.459513,3.622275854,543.1174083,104.2843132,8.224053389,138.9509138,2955.506852,0,307.990875
,-2394.166711,3.624355688,546.6580495,105.9036207,7.881843903,138.6028101,3070.250371,0,305.990625
,-2375.766769,3.628008703,550.2064534,104.4530021,8.275798241,135.3262177,2803.406182,0,303.990375
,-2360.365459,3.630750584,553.7436311,104.7806918,8.141365852,137.7857892,2941.612693,0,301.990125
,-2339.85676,3.634768345,557.2949837,104.4543187,8.288038716,134.8130605,2780.560664,0,299.989875
,-2320.482412,3.638322894,560.8307493,104.5354667,8.367617508,131.1697408,2623.896395,0,297.989625
,-2307.430443,3.640164292,564.35057,106.1836655,7.994342555,131.2762242,2750.361393,0,295.989375
,-2281.893477,3.642518213,567.898856,117.5112132,6.23403978,120.6145255,3033.609491,0,293.989125
,-2272.570031,3.64412245,571.4405641,119.3375616,6.195032778,109.2106614,2553.86009,0,291.988875
,-2251.085222,3.648361164,574.9791173,118.408182,6.35806889,108.0353027,2440.20801,0,289.988625
,-2234.626566,3.650361038,578.5136941,122.1427277,5.663347651,118.2955326,3225.312946,0,287.988375
,-2235.518288,3.65239906,582.059231,108.3549741,7.513955839,132.9021693,2990.630265,0,285.988125
,-2227.734761,3.654884939,585.5865355,102.2683717,8.591260445,143.0804439,2978.455212,0,283.987875
,-2212.086201,3.65821298,589.1290424,101.2917224,8.975149456,137.9100437,2672.577108,0,281.987625
,-2194.57227,3.661592575,592.6693188,101.13297,9.288004144,129.7596649,2319.04488,0,279.987375
,-2179.814827,3.663410456,596.2176972,103.7386924,8.313544139,140.326129,2974.745439,0,277.987125
,-2163.110769,3.666722224,599.7492669,101.5909117,8.629615264,148.2333038,3154.461925,0,275.986875
,-2149.325602,3.668908113,603.2686587,103.6569265,8.421385462,136.8377353,2809.427758,0,273.986625
,-2135.053487,3.671280623,606.8161511,105.0515942,8.161720025,134.4809293,2811.326272,0,271.986375
,-2115.834324,3.674379247,610.3646858,104.0989863,8.350620153,135.5198286,2785.303858,0,269.986125
,-2082.665674,3.680104986,613.9089975,107.6139448,7.714416238,130.5387672,2821.864683,0,267.985875
,-2024.190568,3.690827954,617.4774694,106.4337652,7.945672562,131.0820543,2759.964875,0,265.985625
,-1938.293061,3.706049965,621.0942218,107.0153908,7.578085272,142.549544,3354.737042,0,263.985375
,-1928.23454,3.708061758,624.6325105,107.0538016,7.71490044,135.4671129,3012.748707,0,261.985125
,-1913.957527,3.71062015,628.1652888,107.5320284,7.760659445,129.3149242,2758.600733,0,259.984875
,-1926.206534,3.708837438,631.6642896,105.3583068,8.028641877,137.2077665,2960.912201,0,257.984625
,-1951.596211,3.703535116,635.1729856,107.4783141,7.66008288,134.0961377,2980.31304,0,255.984375
,-1959.545447,3.70192664,638.6744221,108.2348885,7.497076418,134.7596938,3071.76991,0,253.984125
,-1961.248842,3.701055736,642.1861823,109.900131,7.336455679,127.6490795,2851.718435,0,251.983875
,-1955.570841,3.702059906,645.7413502,110.2696394,7.286516988,126.7913253,2837.069523,0,249.983625
,-1951.271695,3.703737177,649.2710009,104.2283789,8.257903703,138.0618342,2910.335616,0,247.983375
,-1939.34766,3.705648451,652.819322,106.005592,7.971600208,133.8059866,2852.910124,0,245.983125
,-1925.882006,3.70851068,656.3459723,103.5049704,8.439968039,137.4470618,2825.268236,0,243.982875
,-1910.7938,3.710790534,659.8702749,106.1250547,7.914039793,135.1717399,2925.650527,0,241.982625
,-1896.354349,3.712914293,663.3947671,107.2818752,7.775620384,130.8199926,2810.346575,0,239.982375
,-1881.671091,3.716197018,666.9480705,105.0199545,8.259775658,131.060352,2654.230426,0,237.982125
,-1865.527219,3.718244683,670.4846224,108.9855747,7.482084056,128.8646977,2843.661279,0,235.981875
,-1845.813353,3.722350406,674.0241044,105.9191286,7.950459967,135.4139544,2921.462185,0,233.981625
,-1835.023321,3.725015961,677.5595052,101.7573439,8.537123395,150.6526286,3279.892065,0,231.981375
,-1816.850273,3.728297549,681.100036,101.3402524,8.619515596,151.371304,3275.561317,0,229.981125
,-1801.35412,3.731245759,684.6338,100.5976931,8.762774903,153.0031957,3282.649632,0,227.980875
